                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93391,                0.47384,                   0.97,                0.90613,                0.88089,                0.90111,                0.58425,                 1.2505,                0.63227,                 1.0941,              0.0059163,              0.0059163,              0.0059163
                     35,                0.92264,                 0.4677,                0.97124,                0.90653,                0.89391,                0.90502,                0.59612,                 1.2425,                0.62024,                 1.0893,              0.0057925,              0.0057925,              0.0057925
                     36,                0.92524,                0.46041,                0.96563,                 0.9108,                0.87935,                0.90329,                0.59065,                 1.2341,                0.62668,                 1.0826,              0.0056688,              0.0056688,              0.0056688
                     37,                0.91885,                0.46096,                 0.9605,                0.91583,                0.86936,                0.89757,                0.58978,                 1.2557,                0.66125,                 1.1049,               0.005545,               0.005545,               0.005545
                     38,                0.91733,                0.45433,                0.96525,                0.91526,                0.86751,                0.89876,                0.59072,                 1.2501,                0.63104,                 1.1006,              0.0054212,              0.0054212,              0.0054212
                     39,                0.90764,                0.44524,                 0.9635,                0.89849,                 0.8858,                0.89367,                0.58235,                 1.2458,                0.63067,                 1.0957,              0.0052975,              0.0052975,              0.0052975
                     40,                0.90607,                0.44721,                 0.9588,                 0.9201,                 0.8788,                0.91048,                0.60392,                 1.2273,                0.61983,                  1.084,              0.0051737,              0.0051737,              0.0051737
                     41,                0.90499,                0.44781,                0.96149,                0.90768,                0.88264,                0.90468,                 0.6008,                 1.2352,                0.61704,                 1.0884,                0.00505,                0.00505,                0.00505
                     42,                 0.8858,                0.43787,                0.95668,                0.91533,                0.88447,                0.90938,                0.60316,                 1.2142,                0.59215,                 1.0823,              0.0049263,              0.0049263,              0.0049263
                     43,                 0.8896,                0.43573,                0.95814,                0.89683,                0.87699,                0.90194,                0.58495,                 1.2588,                0.60026,                  1.101,              0.0048025,              0.0048025,              0.0048025
                     44,                0.89725,                0.43963,                0.95565,                0.90468,                0.88482,                0.90418,                0.58489,                 1.2592,                0.61653,                 1.1097,              0.0046788,              0.0046788,              0.0046788
                     45,                0.88578,                 0.4342,                0.95518,                0.90007,                0.88144,                0.90155,                0.58189,                  1.255,                 0.6043,                 1.1116,               0.004555,               0.004555,               0.004555
                     46,                0.87583,                0.42348,                0.95098,                0.92314,                0.88041,                0.90102,                0.59283,                  1.245,                0.60366,                 1.1011,              0.0044313,              0.0044313,              0.0044313
                     47,                0.88221,                0.42503,                0.95074,                0.88124,                0.88181,                  0.894,                0.57883,                 1.2687,                0.62203,                 1.0933,              0.0043075,              0.0043075,              0.0043075
                     48,                0.87757,                0.42856,                 0.9513,                0.91457,                0.88045,                0.90294,                0.59542,                  1.246,                0.59249,                 1.0924,              0.0041837,              0.0041837,              0.0041837
                     49,                0.86866,                 0.4236,                 0.9447,                  0.907,                0.89195,                0.90776,                 0.6058,                 1.2222,                0.59935,                  1.095,                0.00406,                0.00406,                0.00406
                     50,                0.86465,                0.41839,                0.94272,                0.92424,                0.89315,                0.91134,                 0.6077,                 1.2135,                0.58462,                 1.0888,              0.0039362,              0.0039362,              0.0039362
                     51,                0.85239,                 0.4114,                0.94451,                0.92451,                0.88826,                0.90767,                0.59687,                 1.2381,                0.58452,                 1.1067,              0.0038125,              0.0038125,              0.0038125
                     52,                0.85387,                0.41175,                0.94267,                  0.916,                0.88464,                0.90336,                0.59468,                 1.2318,                0.59667,                 1.0976,              0.0036888,              0.0036888,              0.0036888
                     53,                0.85041,                0.41112,                  0.944,                0.92691,                0.86709,                0.89709,                0.58841,                 1.2443,                0.59066,                 1.1026,               0.003565,               0.003565,               0.003565
                     54,                0.86359,                 0.4073,                0.94409,                0.92589,                0.88536,                0.90884,                0.61104,                 1.2284,                0.58067,                 1.0971,              0.0034413,              0.0034413,              0.0034413
                     55,                0.83411,                0.40134,                0.93959,                 0.9211,                0.88365,                0.90798,                0.59386,                 1.2467,                0.59672,                 1.1058,              0.0033175,              0.0033175,              0.0033175
                     56,                0.84221,                0.40531,                0.93648,                0.92422,                0.88962,                0.90839,                0.60978,                 1.2275,                0.58427,                 1.0923,              0.0031938,              0.0031938,              0.0031938
                     57,                0.82471,                0.39358,                0.93443,                0.91609,                0.89279,                 0.9074,                0.60748,                 1.2148,                 0.5804,                 1.0842,                0.00307,                0.00307,                0.00307
                     58,                0.83238,                0.39745,                0.92997,                0.91703,                0.88723,                0.90571,                0.60722,                 1.2182,                0.57869,                 1.0933,              0.0029462,              0.0029462,              0.0029462
                     59,                0.83328,                0.39401,                0.93435,                0.92658,                0.87803,                0.90474,                0.60679,                 1.2342,                0.58476,                 1.1015,              0.0028225,              0.0028225,              0.0028225
                     60,                0.82394,                0.38684,                0.92912,                0.91871,                0.89096,                0.90651,                 0.6027,                 1.2452,                0.59051,                 1.1147,              0.0026987,              0.0026987,              0.0026987
                     61,                0.81799,                0.38557,                0.92745,                0.91527,                0.89023,                0.90873,                0.60745,                 1.2384,                0.58119,                 1.1018,               0.002575,               0.002575,               0.002575
                     62,                 0.8067,                0.37983,                0.92482,                0.92143,                  0.895,                  0.911,                0.60893,                 1.2311,                0.58121,                 1.0997,              0.0024513,              0.0024513,              0.0024513
                     63,                0.80878,                0.38025,                0.92852,                0.93209,                0.88144,                0.91104,                0.60936,                 1.2313,                0.58528,                 1.0989,              0.0023275,              0.0023275,              0.0023275
                     64,                0.80289,                0.37623,                0.92375,                0.92505,                0.87912,                0.90728,                0.60848,                 1.2197,                0.57285,                 1.0986,              0.0022038,              0.0022038,              0.0022038
                     65,                0.80049,                0.37546,                0.92137,                0.93042,                0.86758,                  0.904,                0.60713,                 1.2088,                0.56925,                 1.0951,                0.00208,                0.00208,                0.00208
                     66,                0.79082,                0.37048,                0.92959,                0.91707,                  0.877,                0.90317,                0.60605,                 1.2363,                0.57633,                 1.1038,              0.0019563,              0.0019563,              0.0019563
                     67,                0.79631,                0.36969,                 0.9197,                0.92414,                0.87372,                0.90765,                 0.6112,                 1.2277,                0.58029,                 1.1107,              0.0018325,              0.0018325,              0.0018325
                     68,                0.79892,                 0.3714,                0.92011,                0.91371,                0.86759,                0.90776,                0.60548,                 1.2461,                0.57908,                 1.1151,              0.0017087,              0.0017087,              0.0017087
                     69,                0.78492,                0.36621,                0.92014,                0.92172,                0.87976,                0.90034,                0.60817,                 1.2289,                0.57624,                 1.1051,               0.001585,               0.001585,               0.001585
                     70,                0.78008,                0.36355,                0.91476,                0.92424,                0.88459,                0.90611,                0.61619,                 1.2044,                0.56074,                 1.0919,              0.0014612,              0.0014612,              0.0014612
                     71,                0.77336,                0.35631,                0.91496,                0.92681,                0.87828,                0.90943,                0.61272,                 1.2207,                0.56454,                  1.108,              0.0013375,              0.0013375,              0.0013375
                     72,                0.76656,                0.35807,                  0.916,                0.91306,                0.88827,                0.90931,                0.61541,                 1.2221,                0.56474,                 1.1057,              0.0012138,              0.0012138,              0.0012138
                     73,                0.77039,                0.35643,                0.91031,                0.92044,                0.88878,                0.91469,                0.61455,                 1.2228,                0.56649,                 1.1066,                0.00109,                0.00109,                0.00109
                     74,                0.76017,                0.35356,                0.91134,                0.91894,                0.88992,                0.91427,                0.61196,                 1.2328,                0.56791,                  1.111,             0.00096625,             0.00096625,             0.00096625
                     75,                0.76625,                0.35387,                0.91426,                0.91758,                0.88957,                0.91329,                0.61422,                 1.2253,                0.56505,                 1.1077,              0.0008425,              0.0008425,              0.0008425
                     76,                0.75315,                0.34707,                0.91022,                0.91357,                0.89168,                0.90944,                0.61513,                 1.2176,                0.56165,                 1.1031,             0.00071875,             0.00071875,             0.00071875
                     77,                0.75949,                0.34387,                0.91232,                0.91907,                0.88973,                 0.9121,                0.61618,                  1.212,                0.55933,                 1.0979,               0.000595,               0.000595,               0.000595
                     78,                0.74915,                0.34522,                0.90992,                0.91785,                0.89369,                0.91707,                0.61604,                 1.2155,                0.55959,                 1.1002,             0.00047125,             0.00047125,             0.00047125
                     79,                0.75274,                0.34465,                0.90543,                0.91424,                0.90316,                0.90672,                0.61566,                 1.2152,                0.55651,                 1.1012,              0.0003475,              0.0003475,              0.0003475
