                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.96629,                0.48705,                0.98464,                 0.8407,                0.82318,                0.86255,                0.53871,                 1.3167,                0.75918,                 1.1141,              0.0072555,              0.0072555,              0.0072555
                     35,                0.97427,                0.48562,                0.98858,                0.80804,                0.82472,                0.85424,                0.54224,                 1.2905,                0.74537,                 1.1021,              0.0071723,              0.0071723,              0.0071723
                     36,                0.96769,                0.48106,                0.98315,                 0.8299,                0.78422,                 0.8537,                0.54399,                 1.3069,                0.75348,                 1.1027,              0.0070892,              0.0070892,              0.0070892
                     37,                0.95881,                0.47022,                0.98185,                 0.8757,                 0.8373,                0.87503,                0.54645,                  1.318,                0.72574,                 1.1232,               0.007006,               0.007006,               0.007006
                     38,                0.94593,                0.46921,                0.97886,                0.83602,                0.82291,                0.86188,                0.53921,                 1.3101,                0.73415,                 1.1208,              0.0069228,              0.0069228,              0.0069228
                     39,                0.94017,                0.46574,                 0.9737,                0.85032,                0.84266,                 0.8681,                0.54338,                 1.3166,                0.74045,                  1.121,              0.0068397,              0.0068397,              0.0068397
                     40,                0.95452,                0.47406,                0.97604,                0.85793,                0.81359,                0.84512,                0.53191,                 1.3117,                0.75929,                 1.1129,              0.0067565,              0.0067565,              0.0067565
                     41,                0.93804,                0.46435,                0.97351,                0.83641,                 0.8345,                 0.8519,                 0.5381,                 1.2951,                 0.7235,                 1.1227,              0.0066733,              0.0066733,              0.0066733
                     42,                0.93434,                0.45841,                0.97387,                0.86012,                 0.8349,                0.85209,                 0.5426,                 1.3195,                0.74303,                 1.1351,              0.0065902,              0.0065902,              0.0065902
                     43,                0.94035,                0.45718,                0.97161,                0.85885,                0.84648,                0.87346,                0.55792,                 1.3222,                0.71749,                  1.138,               0.006507,               0.006507,               0.006507
                     44,                  0.933,                0.45143,                0.96647,                  0.854,                0.85182,                0.86939,                0.54579,                 1.3149,                0.69877,                 1.1361,              0.0064238,              0.0064238,              0.0064238
