                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.9365,                0.50168,                0.96093,                0.79464,                0.61492,                0.71598,                0.39891,                 1.5986,                 1.0995,                 1.3859,              0.0072555,              0.0072555,              0.0072555
                     35,                0.92522,                0.49373,                0.95772,                0.56114,                0.45767,                0.50794,                0.26258,                 1.7694,                 1.7471,                 1.5411,              0.0071723,              0.0071723,              0.0071723
                     36,                0.92766,                0.48913,                0.95241,                0.82606,                0.75987,                0.81682,                0.46659,                  1.374,                0.86798,                 1.2806,              0.0070892,              0.0070892,              0.0070892
                     37,                0.91483,                0.48057,                0.94803,                0.68379,                0.57848,                0.63448,                0.34827,                 1.6644,                 1.6325,                 1.4554,               0.007006,               0.007006,               0.007006
                     38,                0.91528,                0.48032,                0.94657,                0.82196,                0.77856,                0.83162,                0.47967,                 1.3659,                0.81546,                 1.2757,              0.0069228,              0.0069228,              0.0069228
                     39,                0.90991,                0.47451,                0.94593,                0.77558,                0.65096,                0.73904,                0.41222,                  1.464,                  1.074,                 1.3525,              0.0068397,              0.0068397,              0.0068397
                     40,                0.90444,                 0.4739,                0.94173,                0.83242,                0.75433,                0.84222,                0.48557,                 1.3726,                0.83176,                  1.282,              0.0067565,              0.0067565,              0.0067565
                     41,                0.90419,                0.47261,                0.94507,                0.83239,                0.77527,                0.83572,                0.48949,                   1.37,                0.82631,                 1.2615,              0.0066733,              0.0066733,              0.0066733
                     42,                0.89315,                0.46154,                 0.9404,                0.83851,                0.69565,                0.78151,                0.43696,                 1.5028,                 1.0195,                 1.3343,              0.0065902,              0.0065902,              0.0065902
                     43,                0.89316,                 0.4612,                 0.9411,                0.85824,                0.77041,                0.84289,                0.49143,                 1.3839,                0.80269,                 1.2652,               0.006507,               0.006507,               0.006507
                     44,                0.89361,                0.46369,                0.93771,                0.85641,                0.72826,                0.80727,                0.46455,                 1.4771,                0.92164,                  1.347,              0.0064238,              0.0064238,              0.0064238
                     45,                0.87751,                0.45286,                0.93379,                0.86624,                 0.7153,                0.81586,                0.45535,                 1.4161,                0.92356,                 1.3017,              0.0063407,              0.0063407,              0.0063407
                     46,                0.88928,                 0.4656,                0.93782,                0.84637,                0.73698,                0.79741,                0.44886,                 1.4605,                0.91458,                 1.3313,              0.0062575,              0.0062575,              0.0062575
                     47,                0.87761,                0.45704,                0.93186,                0.87459,                 0.8098,                0.87212,                0.50747,                 1.3325,                0.75065,                 1.2743,              0.0061743,              0.0061743,              0.0061743
                     48,                0.86499,                0.44894,                0.93393,                0.87628,                0.79071,                 0.8649,                0.50203,                 1.3559,                0.76101,                 1.3039,              0.0060912,              0.0060912,              0.0060912
                     49,                0.86142,                0.44894,                0.92861,                0.86001,                0.77712,                0.84132,                0.48137,                 1.3424,                0.80265,                 1.2654,               0.006008,               0.006008,               0.006008
