                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.88908,                0.49375,                0.95797,                0.67111,                0.46196,                0.51834,                0.29142,                 1.8751,                 2.7894,                  1.647,              0.0059163,              0.0059163,              0.0059163
                     35,                0.88703,                0.47882,                0.95579,                0.87804,                0.81248,                0.87442,                0.52798,                 1.3156,                0.71685,                 1.2774,              0.0057925,              0.0057925,              0.0057925
                     36,                0.88919,                0.48044,                0.94649,                0.84931,                0.74068,                0.80364,                0.48486,                 1.3736,                 1.0762,                 1.2959,              0.0056688,              0.0056688,              0.0056688
                     37,                0.88766,                0.47911,                0.94869,                0.88838,                0.80302,                 0.8547,                0.51289,                 1.3745,                0.75764,                 1.3175,               0.005545,               0.005545,               0.005545
                     38,                0.88245,                0.48073,                0.94973,                0.90222,                0.81424,                0.87256,                0.51924,                 1.2844,                0.72785,                 1.2321,              0.0054212,              0.0054212,              0.0054212
                     39,                0.88194,                0.47623,                0.94849,                0.83786,                0.77243,                 0.8385,                0.49994,                 1.3431,                0.79715,                 1.2748,              0.0052975,              0.0052975,              0.0052975
                     40,                 0.8827,                0.47405,                0.94985,                0.87943,                0.83443,                0.87886,                 0.5454,                 1.2253,                0.64929,                 1.2057,              0.0051737,              0.0051737,              0.0051737
                     41,                0.87162,                0.46851,                0.94592,                0.90529,                0.83339,                0.89047,                0.54808,                 1.2534,                0.69985,                 1.2015,                0.00505,                0.00505,                0.00505
                     42,                0.86342,                0.45794,                0.93813,                0.89723,                 0.7972,                0.86074,                0.52199,                 1.2929,                0.69896,                 1.2282,              0.0049263,              0.0049263,              0.0049263
                     43,                0.86303,                0.45396,                0.93542,                0.89436,                0.82998,                0.88408,                0.54954,                 1.2448,                0.66858,                 1.1933,              0.0048025,              0.0048025,              0.0048025
                     44,                0.85933,                0.45673,                0.93421,                0.89016,                0.79878,                0.85596,                0.51794,                 1.2801,                0.73963,                 1.2052,              0.0046788,              0.0046788,              0.0046788
                     45,                0.84517,                0.44478,                0.92943,                0.83084,                0.81561,                0.86709,                0.52696,                 1.3418,                0.78311,                 1.2567,               0.004555,               0.004555,               0.004555
                     46,                0.83923,                0.44261,                0.93287,                0.87595,                0.83053,                 0.8737,                0.55028,                 1.2799,                0.69396,                 1.2309,              0.0044313,              0.0044313,              0.0044313
                     47,                 0.8434,                 0.4505,                0.93389,                0.88546,                0.83453,                0.88513,                0.55192,                 1.2366,                0.64418,                  1.229,              0.0043075,              0.0043075,              0.0043075
                     48,                0.83907,                 0.4413,                0.93496,                0.85459,                0.81158,                0.85519,                0.53035,                 1.2707,                0.73352,                 1.2425,              0.0041837,              0.0041837,              0.0041837
                     49,                0.83266,                0.44046,                  0.932,                0.91018,                0.81718,                0.87168,                0.53324,                 1.2485,                0.68381,                 1.2311,                0.00406,                0.00406,                0.00406
                     50,                0.81422,                0.42939,                0.92462,                0.90491,                0.81565,                 0.8805,                0.54921,                 1.2401,                0.63801,                 1.2247,              0.0039362,              0.0039362,              0.0039362
                     51,                0.81969,                0.43194,                 0.9215,                0.90507,                0.82117,                0.88919,                0.54486,                 1.2289,                0.63899,                 1.2186,              0.0038125,              0.0038125,              0.0038125
                     52,                0.81491,                0.42596,                0.92085,                0.89287,                0.82094,                0.87157,                0.54645,                 1.2722,                0.69954,                  1.243,              0.0036888,              0.0036888,              0.0036888
                     53,                0.80791,                0.42376,                0.92224,                0.90551,                0.81119,                0.87683,                0.55557,                 1.2784,                0.64622,                 1.2375,               0.003565,               0.003565,               0.003565
                     54,                0.79925,                0.41079,                0.91966,                0.89818,                 0.8239,                0.88052,                0.54714,                 1.3214,                0.67022,                 1.2639,              0.0034413,              0.0034413,              0.0034413
                     55,                0.80979,                0.41557,                0.91971,                0.89235,                0.81102,                 0.8741,                0.54449,                 1.3146,                0.69532,                 1.2652,              0.0033175,              0.0033175,              0.0033175
                     56,                0.80469,                0.41262,                0.92645,                 0.9107,                0.83338,                0.88019,                 0.5491,                  1.263,                0.65635,                 1.2342,              0.0031938,              0.0031938,              0.0031938
                     57,                0.79229,                0.41029,                0.91735,                0.90155,                0.83398,                0.88885,                0.55888,                 1.2368,                0.62236,                 1.2129,                0.00307,                0.00307,                0.00307
                     58,                0.79625,                0.40696,                0.91272,                0.90318,                0.85519,                0.89797,                0.56915,                  1.265,                0.62067,                 1.2199,              0.0029462,              0.0029462,              0.0029462
                     59,                0.79147,                0.40485,                0.91351,                0.89643,                  0.822,                0.87287,                0.55716,                 1.2789,                 0.6713,                 1.2291,              0.0028225,              0.0028225,              0.0028225
                     60,                0.78217,                0.39846,                0.90874,                0.91148,                0.81988,                 0.8816,                0.56031,                 1.2674,                 0.6694,                 1.2206,              0.0026987,              0.0026987,              0.0026987
                     61,                0.77792,                0.39677,                0.91023,                0.88802,                 0.8239,                0.88023,                0.55043,                 1.2913,                0.71626,                 1.2282,               0.002575,               0.002575,               0.002575
                     62,                0.78311,                0.39275,                0.91145,                 0.9126,                0.84442,                0.88747,                0.55804,                 1.2774,                0.62653,                 1.2584,              0.0024513,              0.0024513,              0.0024513
                     63,                0.77594,                0.39232,                  0.906,                0.91099,                0.86196,                0.89599,                0.56993,                 1.2113,                0.59846,                 1.2153,              0.0023275,              0.0023275,              0.0023275
                     64,                0.75924,                0.38575,                0.90474,                0.91095,                0.80266,                0.87921,                0.55868,                   1.26,                0.67533,                 1.2414,              0.0022038,              0.0022038,              0.0022038
                     65,                0.75208,                0.37923,                0.90567,                0.91129,                 0.8496,                0.89865,                0.57123,                 1.2375,                0.60332,                 1.2331,                0.00208,                0.00208,                0.00208
                     66,                0.74846,                0.37523,                0.90192,                0.91001,                0.83396,                0.89723,                0.57316,                 1.2527,                0.62237,                 1.2431,              0.0019563,              0.0019563,              0.0019563
                     67,                0.75707,                0.37916,                 0.8982,                0.91366,                0.86011,                0.89555,                0.57942,                 1.1998,                0.58544,                 1.2191,              0.0018325,              0.0018325,              0.0018325
                     68,                0.74861,                 0.3745,                0.89879,                0.91071,                0.86727,                0.89786,                0.58322,                 1.2117,                0.58931,                 1.2087,              0.0017087,              0.0017087,              0.0017087
                     69,                0.74974,                0.37424,                0.89775,                0.90037,                0.86493,                 0.8973,                0.57804,                 1.2003,                0.57135,                 1.2042,               0.001585,               0.001585,               0.001585
                     70,                0.73355,                0.36545,                0.89585,                  0.901,                 0.8602,                0.89274,                 0.5757,                 1.1913,                0.56911,                 1.2081,              0.0014612,              0.0014612,              0.0014612
                     71,                0.72995,                0.36377,                0.89715,                0.89893,                0.85482,                0.89081,                0.56922,                 1.2311,                0.60406,                 1.2374,              0.0013375,              0.0013375,              0.0013375
                     72,                0.73485,                0.36392,                0.89686,                0.92433,                0.85121,                0.89566,                0.57965,                 1.1981,                0.57719,                 1.2148,              0.0012138,              0.0012138,              0.0012138
                     73,                0.71632,                0.36113,                0.88993,                0.91937,                0.85672,                0.90064,                0.58401,                 1.2009,                0.57135,                 1.2164,                0.00109,                0.00109,                0.00109
                     74,                0.72237,                0.36003,                 0.8973,                0.91588,                0.85045,                0.89375,                0.58142,                 1.2174,                0.57821,                 1.2293,             0.00096625,             0.00096625,             0.00096625
                     75,                0.71859,                0.35909,                0.89351,                0.90506,                0.85546,                 0.8972,                0.58637,                 1.1999,                0.58305,                 1.2245,              0.0008425,              0.0008425,              0.0008425
                     76,                0.71179,                0.35392,                0.89291,                 0.9196,                0.85674,                0.89869,                0.58476,                  1.233,                0.58289,                  1.243,             0.00071875,             0.00071875,             0.00071875
                     77,                 0.7139,                0.35228,                0.89077,                0.90413,                0.85574,                 0.8965,                 0.5814,                  1.209,                0.58388,                 1.2335,               0.000595,               0.000595,               0.000595
                     78,                0.71278,                 0.3527,                 0.8919,                0.92585,                0.85546,                0.89763,                0.58481,                 1.2302,                0.58114,                 1.2466,             0.00047125,             0.00047125,             0.00047125
                     79,                 0.7083,                0.34825,                0.88882,                 0.9087,                0.86438,                0.90137,                0.58832,                 1.2098,                0.58118,                 1.2343,              0.0003475,              0.0003475,              0.0003475
